<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,1,20201123,102700,243.0800000,243.1800000,243.0300000,243.1300000,112550
SBER,1,20201123,102800,243.1300000,243.1700000,243.0700000,243.1500000,38400
SBER,1,20201123,102900,243.1000000,243.1800000,243.1000000,243.1400000,36180
SBER,1,20201123,103000,243.1400000,243.1800000,242.7700000,242.8400000,253150
SBER,1,20201123,103100,242.8400000,243.0000000,242.7500000,242.8000000,317620
SBER,1,20201123,103200,242.8100000,242.9700000,242.7900000,242.8900000,172430
SBER,1,20201123,103300,242.8900000,243.1500000,242.8700000,243.1400000,115710
SBER,1,20201123,103400,243.1400000,243.4000000,243.1400000,243.3600000,181400
SBER,1,20201123,103500,243.3300000,243.4000000,243.2700000,243.3500000,84060
SBER,1,20201123,103600,243.3400000,243.5800000,243.3000000,243.3000000,369950
SBER,1,20201123,103700,243.3000000,243.4100000,243.1600000,243.2300000,117090
SBER,1,20201123,103800,243.2300000,243.2400000,242.8400000,243.0100000,213650
SBER,1,20201123,103900,243.0100000,243.1600000,243.0000000,243.0700000,41000
SBER,1,20201123,104000,243.0700000,243.1600000,243.0000000,243.1200000,149910
SBER,1,20201123,104100,243.1200000,243.2100000,243.0900000,243.1500000,66220
SBER,1,20201123,104200,243.2000000,243.2700000,242.9000000,243.1000000,304360
SBER,1,20201123,104300,243.1000000,243.2000000,243.0200000,243.1100000,225620
SBER,1,20201123,104400,243.0900000,243.1200000,243.0000000,243.0300000,39950
SBER,1,20201123,104500,243.0300000,243.0800000,243.0000000,243.0000000,48330
SBER,1,20201123,104600,243.0100000,243.0200000,242.7700000,242.7700000,208640
SBER,1,20201123,104700,242.7700000,242.9400000,242.7700000,242.9200000,63590
SBER,1,20201123,104800,242.9300000,243.0800000,242.9300000,242.9500000,89560
SBER,1,20201123,104900,242.9700000,243.1000000,242.9700000,243.0100000,38260
SBER,1,20201123,105000,243.0100000,243.0200000,242.9000000,242.9000000,55410
SBER,1,20201123,105100,242.9600000,242.9600000,242.7700000,242.8000000,70250
SBER,1,20201123,105200,242.8000000,243.0000000,242.8000000,242.9100000,55870
SBER,1,20201123,105300,242.9100000,242.9900000,242.7700000,242.8000000,130170
SBER,1,20201123,105400,242.7700000,242.9400000,242.7700000,242.7700000,194770
SBER,1,20201123,105500,242.8000000,242.8200000,242.7500000,242.7500000,173630
SBER,1,20201123,105600,242.7500000,242.9000000,242.7500000,242.8500000,76800
SBER,1,20201123,105700,242.8700000,243.1400000,242.8100000,243.0900000,254050
SBER,1,20201123,105800,243.0600000,243.1000000,242.9800000,243.0900000,115890
SBER,1,20201123,105900,243.0600000,243.1500000,242.9800000,243.0100000,267880
SBER,1,20201123,110000,243.0400000,243.1900000,243.0100000,243.1200000,93750
SBER,1,20201123,110100,243.1900000,243.3500000,242.0800000,242.3800000,1614140
SBER,1,20201123,110200,242.4500000,242.5600000,242.2600000,242.4100000,495670
SBER,1,20201123,110300,242.4700000,242.5600000,242.2100000,242.5100000,153020
SBER,1,20201123,110400,242.5000000,242.5500000,242.4300000,242.4900000,169170
SBER,1,20201123,110500,242.5000000,242.6400000,242.4000000,242.6000000,169690
SBER,1,20201123,110600,242.6200000,242.9900000,242.6200000,242.9000000,184400
SBER,1,20201123,110700,242.9200000,243.1300000,242.8000000,243.0500000,237160
SBER,1,20201123,110800,243.0600000,243.3000000,243.0100000,243.1700000,168310
