<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,1,20201201,102500,250.3600000,250.4700000,250.2800000,250.3500000,42650
SBER,1,20201201,102600,250.3400000,250.3600000,250.2100000,250.3200000,12320
SBER,1,20201201,102700,250.3400000,250.4000000,250.2800000,250.4000000,57110
SBER,1,20201201,102800,250.4000000,250.5000000,250.3900000,250.4300000,38620
SBER,1,20201201,102900,250.4000000,250.4800000,250.3400000,250.4800000,30690
SBER,1,20201201,103000,250.4800000,250.6000000,250.4800000,250.6000000,54390
SBER,1,20201201,103100,250.6000000,250.7400000,250.5900000,250.6200000,92670
SBER,1,20201201,103200,250.6300000,250.6400000,250.4200000,250.4200000,36170
SBER,1,20201201,103300,250.4100000,250.4300000,250.2900000,250.3000000,58340
SBER,1,20201201,103400,250.2900000,250.4300000,250.2900000,250.3700000,34610
SBER,1,20201201,103500,250.3700000,250.3900000,250.3300000,250.3500000,17440
SBER,1,20201201,103600,250.3300000,250.4400000,250.3300000,250.3900000,37310
SBER,1,20201201,103700,250.3800000,250.3800000,250.2500000,250.3100000,35420
SBER,1,20201201,103800,250.3400000,250.3900000,250.1200000,250.2100000,88790
SBER,1,20201201,103900,250.1800000,250.2000000,250.0600000,250.1400000,38890
SBER,1,20201201,104000,250.1300000,250.3700000,250.1300000,250.1900000,40730
SBER,1,20201201,104100,250.1900000,250.3300000,250.1700000,250.3300000,15650
SBER,1,20201201,104200,250.3300000,250.5700000,250.3300000,250.5300000,94360
SBER,1,20201201,104300,250.5200000,250.5400000,250.4500000,250.5300000,31960
SBER,1,20201201,104400,250.5000000,250.5400000,250.4200000,250.5400000,19760
SBER,1,20201201,104500,250.5300000,250.5600000,250.5000000,250.5600000,25270
SBER,1,20201201,104600,250.5600000,250.6200000,250.4500000,250.6200000,55580
SBER,1,20201201,104700,250.6200000,250.6500000,250.5800000,250.6000000,42220
SBER,1,20201201,104800,250.5800000,251.3200000,250.5400000,251.0800000,820760
SBER,1,20201201,104900,251.0800000,251.1900000,251.0100000,251.1000000,75120
SBER,1,20201201,105000,251.0900000,251.3400000,251.0500000,251.0500000,216530
SBER,1,20201201,105100,251.0600000,251.2200000,251.0600000,251.1600000,105480
SBER,1,20201201,105200,251.2000000,251.4800000,251.1200000,251.4000000,292670
SBER,1,20201201,105300,251.4100000,251.5000000,251.3100000,251.3600000,227210
SBER,1,20201201,105400,251.3600000,251.3700000,251.1200000,251.2000000,139480
SBER,1,20201201,105500,251.1600000,251.3400000,251.1200000,251.3000000,176860
SBER,1,20201201,105600,251.2700000,251.4900000,251.2700000,251.4600000,111680
SBER,1,20201201,105700,251.4600000,251.7800000,251.4600000,251.7500000,398730
SBER,1,20201201,105800,251.7400000,251.7800000,251.5500000,251.7000000,287180
SBER,1,20201201,105900,251.7000000,251.7100000,251.5900000,251.6800000,135110
SBER,1,20201201,110000,251.7000000,252.5000000,251.5000000,252.5000000,1312630
SBER,1,20201201,110100,252.5000000,253.8500000,252.4000000,253.6700000,2926950
SBER,1,20201201,110200,253.7900000,253.9500000,252.9100000,252.9800000,2142630
SBER,1,20201201,110300,253.0000000,253.7800000,252.8300000,253.5100000,876630
SBER,1,20201201,110400,253.5100000,253.9400000,253.3000000,253.7000000,642130
SBER,1,20201201,110500,253.7600000,253.9500000,253.3000000,253.8600000,1070970
SBER,1,20201201,110600,253.8600000,254.2500000,253.3100000,253.5400000,1118020
SBER,1,20201201,110700,253.5500000,253.5500000,253.2500000,253.2500000,441100
SBER,1,20201201,110800,253.2800000,253.4500000,252.8100000,253.0800000,620400
SBER,1,20201201,110900,253.0300000,253.2400000,253.0100000,253.1700000,157340
SBER,1,20201201,111000,253.1700000,253.4300000,252.9000000,252.9900000,295890
SBER,1,20201201,111100,252.9900000,253.3700000,252.8500000,253.2300000,140330
SBER,1,20201201,111200,253.1700000,253.3200000,253.0700000,253.2000000,139020
SBER,1,20201201,111300,253.2700000,253.3700000,253.1100000,253.3600000,96090
SBER,1,20201201,111400,253.3700000,253.3700000,253.0000000,253.0000000,88430
SBER,1,20201201,111500,253.0000000,253.0000000,252.6300000,252.8000000,259730
SBER,1,20201201,111600,252.8000000,253.1300000,252.7800000,253.0000000,206220
SBER,1,20201201,111700,253.0000000,253.4500000,253.0000000,253.4000000,155240
SBER,1,20201201,111800,253.4000000,253.7700000,253.3000000,253.6100000,323410
SBER,1,20201201,111900,253.5900000,253.7800000,253.5100000,253.6000000,165880
SBER,1,20201201,112000,253.6400000,253.9900000,253.6400000,253.8500000,282400
SBER,1,20201201,112100,253.8600000,254.4200000,253.8600000,253.9000000,713770
SBER,1,20201201,112200,253.9400000,254.0800000,253.6900000,253.8400000,300260
SBER,1,20201201,112300,253.8600000,253.9800000,253.7000000,253.8300000,128170
